dataset,speaker,source,n_annotators,annotators,s_coda,agree_s_coda,r_coda,agree_r_coda,dt_palat,agree_dt_palat
brspeech_df,5739,human,1,Pedro H,sibilant,1,caipira,1,non-palatalized,1
brspeech_df,9351,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
certas_palavras,alba_zaluar,human,1,Pedro Valadares,,0,,0,,0
certas_palavras,alex_ribeiro,human,1,Pedro Valadares,sibilant,1,tap,1,non-palatalized,1
certas_palavras,alfredo_weiszflog,human,1,Pedro Valadares,sibilant,1,tap,1,non-palatalized,1
certas_palavras,altair_ferreira_brasil,human,1,Pedro Valadares,sibilant,1,tap,1,non-palatalized,1
certas_palavras,alvaro_malheiros,human,1,Pedro H,sibilant,1,,0,,0
certas_palavras,ana_maria_alfonso_goldfarb,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
cml_tts,10107,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
cml_tts,11247,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
cml_tts,12114,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
cml_tts,12249,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
cml_tts,2961,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
cml_tts,4367,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
colingpb,brPB01_g2aM01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB06_g3aF01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB07_g2aF01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB13_g2aM01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB14_g3aF01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB15_g2aF01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB17_g2aF01_spkA,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB18_g2aM01_spkB,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB21_g2aM01_spkB,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB22_g3aF01_spkB,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
colingpb,brPB25_g2aM01_spkB,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
common_voice,08a9a4127a6c48c2765abb502ad565699f3c449940869bbe971b1a077dff36d1546219529144ad9e57d76519e1c7d23763fd5d04c2c9f4f35346ac0dbb05fae4,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,13cc29f643e67c8227a2b9311092e9de73de30a8cf5538714151189d893372039dff33842f86a47e272d62bb0fe23a5ed667ccf11675ab2822123e38a832dc09,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
common_voice,164ddff6f213b707cb52113f55a96cce5bf4fd97a91aa89c6ecbab4288f39e47b8bfec7e0fd430a6952cae33d610780dae348662b30857b177a8325016238daf,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,17406c73e150a5795228361918e675260d858302a367801e3231c56e2b10c0052e77a811fdee102e65a355b90ce9658d442459da7d00815422844f7a8ede1bef,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,2598f6df5d979e20f591be2352153e4c8eaf5eb1ed76118e4c33afe9add4b3625e4decf206286788d8837c5d871f5d62917375c6c89fbf4198e0174fa80ce17c,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
common_voice,2a44a41d20678a2e39cbcf57a1cd441773fb7bbdc12a3b7f3410846fd5e9704b2121a144424aca31971fda3eb233115b69fe29dd031104b0d02def1ee2b53a8b,human,1,Pedro Valadares,chiado,1,carioca,1,palatalized,1
common_voice,3b19f20dc099862d4215c7e120ec44e5758a43388a71a662ae57d1d6ac0704c399a6838c82f2942696fdaa0eb4edc27479cb9a3a382fcc4e261eb6483b950068,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
common_voice,45513c12a37a180005a53ddb64fb6fa5c3cc6a40e198c493c2b7e54102d8c23341977cd7c4a285506fabeb5ea6017fa9b8ced74066750e2b7a47640a77072919,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,4978f507e0e955f80dbbcf3006375cdfa85c1297fbd5bf7f38b4f15c332fc43b4c3b9db649f8b52cdf1681a4e9e1f0f68a6bf5d423b98e4f3e8f659bae8e3c1e,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,4f56674c81858e0d7a0bcf41ceed2dcfc507c35425521325a183ca6fdce776fc83435600de41c3a13e6183377b31b652bd8a3985189eef864b8f01ea9dd1710a,human,1,Pedro Valadares,chiado,1,carioca,1,palatalized,1
common_voice,63850bd9f5d888281e47a93004a0102ecb6716fe914b905b4d3cde0d89eb248ebdfdc7e9499e1c170495e3ddfee31ffd72df908f05ccd6748acc2ad8a4422817,human,1,Pedro Valadares,,0,,0,,0
common_voice,6c292308460098f44b49e45ea6cba7cd11588806b34e7b2c0840ee27885a0cceb6a38551d8802e6bebc0f1863755ba7bd48f9f88079f3fcc5f03bc1075500953,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,7a204cbdd6d9b08a13e0d2c89dee6a6ff94738d0376fa18b5cdd83cdc902a13fd6188a2b36e485e2dd7d6464ebfff07f0ec3b9ed96ca960b865c245dbcea119b,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,7db1423461c3266269ca66620e4c7c52d869e4c1a9e346b3d2a76628cb837c8e3534bdb27b89cb9bf73fe138d8482ef54f33c5db419f7b55ae98d232a67a82f3,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,80f9d485b120eb746b0367540ace016ffc60ce31be024fcd6b2307b26c25063c4b782bf32f44fc358fa7ca638f3d9c7dd3fb476c0eb1bc7b7325f06e5e899b61,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,8112495fb76c2b0ad66bddf5406230bd0369eadd241434e9f346a13c873a8b6f875d5621a6adfd1e7d375bec70f5d98008e936c92321697eeaf7c7b7e7e761f9,human,2,Pedro H; Pedro Valadares,sibilant,2,caipira,2,,0
common_voice,83e809a0a9245aa72dc18f8d0b11a019c1766c7367e6e4689495ec53dadc36400f03f4594658a27143ea7994ef2afbb8f8efa0ec9740b6f8f8b53dbf43e0d997,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,85b4e9abf2c31f893e6123d681c6673adfaded63d0dcbf8811448d29156dccc3c52386a1056291f15e032cd91220a14f47105897535953da0b6e81f8423bc94f,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,9137f4fb9f04c364643fdab6e709a4dfa2430c9c933e4dd21130ce2d24b64706aff5eb540a352941a212a0c37022e67361a970805c44e303b302ab0b42bba7b2,human,1,Pedro Valadares,sibilant,1,tap,1,non-palatalized,1
common_voice,939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,93a457acb298308c09cfd750b418f7486a3d97126b63974d5595fafdcdf0813b0404089a3e639b66d042f12e523396b54b37c91939008dc84d185d20fb22c24b,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
common_voice,974650ba70cd95ad65d64085460cb011f74072968cf4cb9aa118ca225b8839271ac4e7ba05a9b9a461f4dcddcde7b3afc762909dd6e75efcc00cc4c625802243,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,97538cf03cc44bd8b6b3a0b58441e62191b29eb0faf49e07fbfac11b598e10bebc17cc3fbe1d2d733e6316e4acab5ffb4a54d5c8beb731acafd0e9db2b92575c,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,9d91497cb25399ad6cf6a4d88548fa84ee3c3687363015eb7b12d269cf363dec73496b009c86266b8b7dda93ff257139bab1ddf599719f46ce5cee865a6d80c1,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,a428e0e3bc83454abd895d0011259d09335b8c8f12c579b244dda5b448b5e94627aa10a910025953e20038b240db4c6c8ed2d602afdbd7ae11ca2d168f350033,human,1,Pedro Valadares,sibilant,1,tap,1,mixed,1
common_voice,a9a5b0da1aadab7621f6ff144245201cafbe186e8871008f87abf78d1f6291c5fc94e7904d54390209efb537ab7dc4fc46c600e40afecd8b52c96ac3e69abf2a,human,1,Pedro Valadares,chiado,1,carioca,1,palatalized,1
common_voice,aa2bda613e47e620541e592e759b3c1b3f6648006ad5ee510743c6d8db9c506b6fea3778d8066bae0fa795e188aaee5b06355d6178a2425fd593460b67a96006,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
common_voice,aaa9dc19ff10c5822d4ab7eef70dd17d9c5ebad79abb1991b4528001dc468b329031525c67875b39c3bafe81b7a84efd1e4b42f54238c14a01ae97ff931e112c,human,1,Pedro Valadares,sibilant,1,mixed,1,palatalized,1
common_voice,c4a522c308c1cb57c4d5f97974146c8bb3c70053121814f1a9c6857e3f778dd3dd001730ccb00f2e3113428475d881cc2da6a6519b68e44383d836d218388ed0,human,2,Pedro H; Pedro Valadares,,0,carioca,2,,0
common_voice,c4a83253c754d433ef296aeb3633767f7a7960706a60265cf5bbf1e9fe4c40d0d295e6dc40a6e3f93a0f6bc5563ecf1e818d2af3a332f0613cf4de4195f68563,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,cacf5b76cb660c1809a52e521361dbdc74a8f054ac817e9b40172f67dba3ca8f94d1c4017437fd155678836f68de5ea66e7b1bfa0ea814c130bd266bb38550c6,human,1,Pedro H,mixed,1,caipira,1,palatalized,1
common_voice,cc7a16f72a9b6786007b0af70e6cb739c8db3b2230df4d8fa5c5ebca4dd0b3fd78d8b78d246d9ddb7666b481bff9cc85c364efd87e03b9f4cc7e8e8000b191e2,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
common_voice,d06fc80c3f4327fd6afc3fb88b872c3e50d1c786419dd54bf2db639d32cae03c7fe8049b734b8840eddeedc44c061ac4b8e784a735d106a41a35cd718ae5d858,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,d1f131b04ae238eea465c8022cc37149fd0b5efef392c025a6c80426861f79a6a0aee55ec8efe09c0384970d205d20d28139ffbb1f4b42044cdaebfabb486324,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,d2b517d9ef7aec6b63d41fefeee036f63e8342e743c4f3f2e47c85c98c06df33c402a8e43144c8916f4aeb570f852f65ccf950aa1eb244290300e00e0d3272d2,human,2,Pedro H; Pedro Valadares,,0,carioca,2,non-palatalized,2
common_voice,d530b69011ccef7e063b1acf5ba24e59af5866be616615697d9b0c1837a2147b1aef357608092ff4e3b2c12da579cc592ba65f3f40e5cf2d7cb2d26dfbf7497c,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,d8288aee86a2a6a3ab6f3e8d4028ef097b51698b2f739252d4986adbc5121df8e90516f16c2ed37a1986efb0493360417f1f5ace80469c766b90446e305173ff,human,1,Pedro Valadares,sibilant,1,carioca,1,palatalized,1
common_voice,daaa09e125681d3c14a290088cb45473e1dcd2db96f2883318d86702bddae43b6c723d25b0c0f4448fa722913f191884bcbab721b75921d9f0d829e0c1f6576f,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,dc7ab89e81cd601d82ff159d91e12ac4fbd7b2cfbbd22b4307bd96101920cf52247435ee7dffcab12dee9baadc95cebfd4bb08fa82d0a84102e5d2c2ea4c8b3d,human,1,Pedro Valadares,sibilant,1,caipira,1,mixed,1
common_voice,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,e844be03c1c02e7886c871be43a7a87ca70d9c6f32226b83d915f43174e8e218459846445a1f5e9b3ed87267ab61aca053b8abecbaf96da1ad4dca5f30d85028,human,1,Pedro Valadares,sibilant,1,caipira,1,palatalized,1
common_voice,ea78257ceab1da0980e844afb20919f1380984daa5f83cba35511ff84005184949c4d48199f212ffd21626877bb708c74e898be65eff2208efac04b4cb3dcc22,human,1,Pedro Valadares,sibilant,1,tap,1,palatalized,1
common_voice,fbb8f4e3b06a7ab3a388f07855a8bd231722b9887a5e17ae98b14622182526c326b84d57d4e28b67ec0efbe07ecd8730d5e8f753b05e5760aa8397fcf4546985,human,1,Pedro H,mixed,1,carioca,1,palatalized,1
common_voice,ffbeb07f0d743571a21faba7568f143cb0571953b1193a0a58c47d6a150b455ac36fe903f9925d8bbe5ec71325b0828e7ce8c353265bb6926cb95b5372633256,human,1,Pedro Valadares,sibilant,1,tap,1,unsure,1
common_voice,ffd23738425e548d2d44cc8749987e20b7540f6e364852dac54ae6f852699a3d6cc12a267b14037b7a4a1fe16b7ee154dea639dc9ae224c877794f9261547b93,human,1,Pedro Valadares,sibilant,1,,0,,0
coraa_ted,7MNS7vebe2s,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
coraa_ted,7O0L3vaLexQ,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
coraa_ted,AF9sNZ-7YYU,human,1,Pedro H,sibilant,1,caipira,1,non-palatalized,1
coraa_ted,Abdc2ASFHxI,human,1,Pedro H,mixed,1,carioca,1,palatalized,1
coraa_ted,Am7RHfW5144,human,1,Pedro H,mixed,1,carioca,1,palatalized,1
coraa_ted,BsA2yN37cCg,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
coraa_ted,CRelCn-r70k,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
coraa_ted,DvSYAEFfwsY,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
coraa_ted,E6RscZnAzGo,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
coraa_ted,EEXvxKlXJHE,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
coraa_ted,JJjuQWcmcO4,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
coraa_ted,KCo4iUSrf0U,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
coraa_ted,LR74bSLCOUM,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
coraa_ted,bnbncoSz1QE,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
coraa_ted,iafR13fl9J0,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
tagarela,1Gxkouj4flFiBAWXmHqDDY,human,1,Pedro H,mixed,1,carioca,1,non-palatalized,1
thls,ThallesPieroni_THLS,human,1,Pedro H,sibilant,1,,0,,0
