dataset,speaker,annotator,source,s_coda,r_coda,dt_palat,gold,notes,updated_at
common_voice,939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 19:49:22
common_voice,93a457acb298308c09cfd750b418f7486a3d97126b63974d5595fafdcdf0813b0404089a3e639b66d042f12e523396b54b37c91939008dc84d185d20fb22c24b,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 19:52:27
common_voice,974650ba70cd95ad65d64085460cb011f74072968cf4cb9aa118ca225b8839271ac4e7ba05a9b9a461f4dcddcde7b3afc762909dd6e75efcc00cc4c625802243,Pedro Valadares,human,sibilant,carioca,palatalized,0,"Temos que ter que cuidado com falantes falando expressoes em ingles como em ""common_voice_pt_24995478.mp3"" - nao reflete o comportamento geral do falante",2026-05-03 20:25:58
common_voice,97538cf03cc44bd8b6b3a0b58441e62191b29eb0faf49e07fbfac11b598e10bebc17cc3fbe1d2d733e6316e4acab5ffb4a54d5c8beb731acafd0e9db2b92575c,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:01:35
common_voice,9d91497cb25399ad6cf6a4d88548fa84ee3c3687363015eb7b12d269cf363dec73496b009c86266b8b7dda93ff257139bab1ddf599719f46ce5cee865a6d80c1,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 19:51:47
common_voice,a428e0e3bc83454abd895d0011259d09335b8c8f12c579b244dda5b448b5e94627aa10a910025953e20038b240db4c6c8ed2d602afdbd7ae11ca2d168f350033,Pedro Valadares,human,sibilant,tap,mixed,0,,2026-05-03 20:35:48
common_voice,a9a5b0da1aadab7621f6ff144245201cafbe186e8871008f87abf78d1f6291c5fc94e7904d54390209efb537ab7dc4fc46c600e40afecd8b52c96ac3e69abf2a,Pedro Valadares,human,chiado,carioca,palatalized,0,,2026-05-03 20:02:10
common_voice,aa2bda613e47e620541e592e759b3c1b3f6648006ad5ee510743c6d8db9c506b6fea3778d8066bae0fa795e188aaee5b06355d6178a2425fd593460b67a96006,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-03 20:00:11
common_voice,aaa9dc19ff10c5822d4ab7eef70dd17d9c5ebad79abb1991b4528001dc468b329031525c67875b39c3bafe81b7a84efd1e4b42f54238c14a01ae97ff931e112c,Pedro Valadares,human,sibilant,mixed,palatalized,0,,2026-05-03 20:23:25
common_voice,c4a522c308c1cb57c4d5f97974146c8bb3c70053121814f1a9c6857e3f778dd3dd001730ccb00f2e3113428475d881cc2da6a6519b68e44383d836d218388ed0,Pedro H,human,mixed,carioca,palatalized,0,,2026-05-05 22:48:21
common_voice,c4a522c308c1cb57c4d5f97974146c8bb3c70053121814f1a9c6857e3f778dd3dd001730ccb00f2e3113428475d881cc2da6a6519b68e44383d836d218388ed0,Pedro Valadares,human,sibilant,carioca,non-palatalized,0,,2026-05-03 20:14:50
common_voice,c4a83253c754d433ef296aeb3633767f7a7960706a60265cf5bbf1e9fe4c40d0d295e6dc40a6e3f93a0f6bc5563ecf1e818d2af3a332f0613cf4de4195f68563,Pedro Valadares,human,sibilant,tap,palatalized,0,,2026-05-03 19:54:04
common_voice,cacf5b76cb660c1809a52e521361dbdc74a8f054ac817e9b40172f67dba3ca8f94d1c4017437fd155678836f68de5ea66e7b1bfa0ea814c130bd266bb38550c6,Pedro H,human,mixed,caipira,palatalized,0,,2026-05-03 19:53:27
common_voice,cc7a16f72a9b6786007b0af70e6cb739c8db3b2230df4d8fa5c5ebca4dd0b3fd78d8b78d246d9ddb7666b481bff9cc85c364efd87e03b9f4cc7e8e8000b191e2,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-03 20:04:08
common_voice,d06fc80c3f4327fd6afc3fb88b872c3e50d1c786419dd54bf2db639d32cae03c7fe8049b734b8840eddeedc44c061ac4b8e784a735d106a41a35cd718ae5d858,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 20:08:45
common_voice,d1f131b04ae238eea465c8022cc37149fd0b5efef392c025a6c80426861f79a6a0aee55ec8efe09c0384970d205d20d28139ffbb1f4b42044cdaebfabb486324,Pedro Valadares,human,sibilant,tap,palatalized,0,"Predominante R TAP, mas tem um Caipira em common_voice_pt_27710224.mp3",2026-05-03 20:16:18
common_voice,d2b517d9ef7aec6b63d41fefeee036f63e8342e743c4f3f2e47c85c98c06df33c402a8e43144c8916f4aeb570f852f65ccf950aa1eb244290300e00e0d3272d2,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:49:42
common_voice,d2b517d9ef7aec6b63d41fefeee036f63e8342e743c4f3f2e47c85c98c06df33c402a8e43144c8916f4aeb570f852f65ccf950aa1eb244290300e00e0d3272d2,Pedro Valadares,human,chiado,carioca,non-palatalized,0,,2026-05-03 20:24:13
common_voice,d530b69011ccef7e063b1acf5ba24e59af5866be616615697d9b0c1837a2147b1aef357608092ff4e3b2c12da579cc592ba65f3f40e5cf2d7cb2d26dfbf7497c,Pedro Valadares,human,sibilant,carioca,palatalized,0,R bem discreto em common_voice_pt_25336803.mp3 - mais proximo do Carioca,2026-05-03 20:18:54
common_voice,d8288aee86a2a6a3ab6f3e8d4028ef097b51698b2f739252d4986adbc5121df8e90516f16c2ed37a1986efb0493360417f1f5ace80469c766b90446e305173ff,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 19:47:34
common_voice,daaa09e125681d3c14a290088cb45473e1dcd2db96f2883318d86702bddae43b6c723d25b0c0f4448fa722913f191884bcbab721b75921d9f0d829e0c1f6576f,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:34:15
common_voice,dc7ab89e81cd601d82ff159d91e12ac4fbd7b2cfbbd22b4307bd96101920cf52247435ee7dffcab12dee9baadc95cebfd4bb08fa82d0a84102e5d2c2ea4c8b3d,Pedro Valadares,human,sibilant,caipira,mixed,0,,2026-05-03 20:27:02
common_voice,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 19:50:10
common_voice,e844be03c1c02e7886c871be43a7a87ca70d9c6f32226b83d915f43174e8e218459846445a1f5e9b3ed87267ab61aca053b8abecbaf96da1ad4dca5f30d85028,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:19:51
common_voice,ea78257ceab1da0980e844afb20919f1380984daa5f83cba35511ff84005184949c4d48199f212ffd21626877bb708c74e898be65eff2208efac04b4cb3dcc22,Pedro Valadares,human,sibilant,tap,palatalized,0,,2026-05-03 20:21:41
common_voice,fbb8f4e3b06a7ab3a388f07855a8bd231722b9887a5e17ae98b14622182526c326b84d57d4e28b67ec0efbe07ecd8730d5e8f753b05e5760aa8397fcf4546985,Pedro H,human,mixed,carioca,palatalized,0,,2026-05-03 19:54:27
common_voice,ffbeb07f0d743571a21faba7568f143cb0571953b1193a0a58c47d6a150b455ac36fe903f9925d8bbe5ec71325b0828e7ce8c353265bb6926cb95b5372633256,Pedro Valadares,human,sibilant,tap,unsure,0,,2026-05-03 19:59:58
common_voice,ffd23738425e548d2d44cc8749987e20b7540f6e364852dac54ae6f852699a3d6cc12a267b14037b7a4a1fe16b7ee154dea639dc9ae224c877794f9261547b93,Pedro Valadares,human,sibilant,,,0,Qualidade Ruim,2026-05-03 19:57:49
coraa_ted,7MNS7vebe2s,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-03 10:32:26
coraa_ted,7O0L3vaLexQ,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-03 10:33:36
coraa_ted,AF9sNZ-7YYU,Pedro H,human,sibilant,caipira,non-palatalized,0,,2026-05-03 10:34:27
coraa_ted,Abdc2ASFHxI,Pedro H,human,mixed,carioca,palatalized,0,,2026-05-03 10:36:15
coraa_ted,Am7RHfW5144,Pedro H,human,mixed,carioca,palatalized,0,,2026-05-03 10:38:12
coraa_ted,BsA2yN37cCg,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-03 10:38:51
coraa_ted,CRelCn-r70k,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:41:02
coraa_ted,DvSYAEFfwsY,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:41:48
coraa_ted,E6RscZnAzGo,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:42:15
coraa_ted,EEXvxKlXJHE,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-03 10:43:21
coraa_ted,JJjuQWcmcO4,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-03 10:49:15
coraa_ted,KCo4iUSrf0U,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:47:51
coraa_ted,LR74bSLCOUM,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-03 10:46:03
coraa_ted,bnbncoSz1QE,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-03 10:44:47
coraa_ted,iafR13fl9J0,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:44:05
tagarela,1Gxkouj4flFiBAWXmHqDDY,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-03 18:39:15
thls,ThallesPieroni_THLS,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
